"cüz'iyet","ferdî, kişisel"
"hususiyet","özel olma, hususîlik"
"azamet","büyüklük"
"cihet","taraf, yön"
"medar-ı nazar","dikkatin üzerinde toplanması"
"cüz","kısım, parça"
"cüz'î","sınırlı, ferdî"
"küllî","geniş ve kapsamlı"
"azamet","büyüklük"
"küllî","geniş ve kapsamlı"
"makam","derece"
"cüz'î","sınırlı, ferdî"
"hususî","özel"
"âlem","dünya, evren"
"istilâ","işgal"
"tahşidat","yığınak yapma"
"izhar-ı haşmet","ihtişamın, heybetin açığa vurulması"
"hadise-i Muhammediye","Hz. Muhammed'in (a.s.m.) peygamber olarak görevlendirilmesi"
"vahy-i Kur'ân","Kur'ân'ın vahiyle gelmesi, indirilmesi"
"hadise-i kudsiye","kutsal olay"
"umum","bütün, genel"
"semâvat","gökler"
"mühim","önemli"
"semâvât","gökler"
"burç","belli bir şekil ve surete benzeyen sabit yıldız kümesi"
"tard ve def","kovma ve çıkarma"
"vaziyet","durum"
"vahy-i Kur'ânî","Kur'ân'ın vahiyle gelmesi, indirilmesi"
"derece-i haşmet","heybet ve görkemin derecesi"
"şâşaa-i saltanat","gösterişli ve göz alıcı saltanat"
"cihet","taraf, yön"
"derece-i hakkaniyet","gerçeklik, doğruluk derecesi"
"işaret-i Rabbâniye","Allah'ın işareti"
"asır","yüzyıl"
"ziyade","çok, fazla"
"Kur'ân-ı Mu'cizü'l-Beyan","açıklamalarıyla mu'cize olan Kur'ân"
"ilân-ı tekvîniye","varlıkların yaratılışıyla insanlara duyurulan gerçekler"
"işaret-i semâvi","Allah tarafından gösterilen işaret"
"melâike","melek"
"işaret-i azîme-i semâviye","göklerde sergilenen büyük işaretler"
"melâike","melek"
"mübareze","karşılıklı mücadele, çatışma"
"vahy-i Kur'ânî","Kur'ân'ın vahiyle gelmesi, indirilmesi"
"haşmet-i saltanat","saltanatın görkemi"
"haşmetli","büyük, görkemli"
"beyan-ı Kur'ânî","Kur'ân'ın açıklaması"
"azametli","çok büyük"
"tahşidât-ı semâviye","göğün üzerinde çokça durma, gökten çok bahsetme"
"cinnî","cinlerden olan"
"semâvat ehli","gökler"
"mübareze","karşılıklı mücadele, çatışma"
"müdafa","savunma"
"sevk","yönlendiren"
"iktidar","güç, kuvvet"
"müdafa","savunma"
"kalb-i Muhammedî","Hz. Peygamberin mânevî kalp duygusu"
"semâvat","gökler"
"âlem","dünya, evren"
"Arş-ı Âzam","Allah'ın büyüklük ve yüceliğinin ve herşeyi kuşatan sınırsız egemenliğinin tecelli ettiği yer"
"müdahale","karışma"
"vahy-i Kur'ânî","Kur'ân'ın vahiyle gelmesi, indirilmesi"
"semâvat","gökler"
"umum","bütün, genel"
"melâike","melek"
"medar-ı bahis","üzerinde konuşulan"
"hakikat","doğru gerçek"
"temas","bahsetmek"
"semâvât","gökler"
"muvaffak","başarılı olma, erişme"
"recmedilme","taşlanma"
"kalb-i Muhammedî","Hz. Peygamberin mânevî kalp duygusu"
"vahiy","Cenâb-ı Allah'ın emir ve yasaklarını peygamberlere bildirmesi"
"huzur-u Muhammediye","Hz. Peygamberin huzuru, bulunduğu yer"
"Cebrail","bk. Cebrail (a.s.)"
"nazar-ı Muhammedî","Hz. Muhammed'in (a.s.m.) bakışı"
"hakaik-i gaybiye","bilinmeyen ve görünmeyen âlemlere ait gerçekler"
"müstakim","dosdoğru olan"
"cihet","taraf, yön"
"Kur'ân-ı Mu'cizü'l-Beyan","açıklamalarıyla mu'cize olan Kur'ân"
"mucizâne","mucizeli bir şekilde"
"âlem-i beka","devamlı ve kalıcı olan âhiret âlemi"
"temsil","analoji, kıyaslama tarzında benzetme"
"âlem-i fâni","gelip geçici dünya"
"âlem-i şehadet","görünen alem, dünya"
"âlem-i gayb","gayb âlemi, görünmeyen âlem"
"dâr-ı beka","sonsuzluk yurdu, âhiret"
"merkez-i kübrâ","en büyük merkez"
"âlem-i misal","bütün varlıkların ve olayların görüntülerinin yansıdığı madde ötesi âlem"
"vasıta","aracı"
"hakkalyakin","bizzat yaşamak suretiyle, kesin bilgiye ulaşma"
"vasıta","aracı"
"âlem-i fâni","gelip geçici dünya"
"temsil","analoji, kıyaslama tarzında benzetme"
"nevi","çeşit, tür"
"müstemleke","başka bir devletin idaresi altında bulunan memleket, yer, sömürge"
"muhabere","haberleşme"
"daire-i külliye","büyük ve geniş kapsamlı daire"
"cüz'î","küçük, sınırlı, ferdî"
"hadise-i şahsi","şahsi olay"
"kâhin","gelecekten haber veren kimse"
"gaybî","bilinmeyen, gayba ait olan"
"semâvât","gökler"
"tefsir","Kur'ân-ı Kerimi mânâ bakımından açıklayan, yorumlayan kitap"
"hakikat","gerçek"
"Semâvat","gökler"
"payitaht","merkez, başkent"
"cüz'î","küçük, sınırlı, ferdî"
"cevv-i hava","hava boşluğu"
"şümul","kapsam"
"semâvat","gökler"
"teşbih","benzetme"
"mevki","yer, konum"
"mevki","yer, konum"
"arz","dünya"
"münasebettar","ilgili, bağlantılı"
"Cüz'î","küçük, sınırlı, ferdî"
"cüz'î","küçük, sınırlı, ferdî"
"makam","derece"
"kalb-i insanî","insanın mânevî kalbi"
"makam","derece"
"melek-i ilham","ilham meleği"
"şeytan-ı hususî","özel şeytan"
"mevki","yer, konum"
"mübareze","karşılıklı mücadele, çatışma"
"hakaik-i imaniye ve Kur'âniye","iman ve Kur'ân hakikatleri"
"hâdisât-ı Muhammediye","Hz. Muhammed (a.s.m.) ile ilgili gelişen olaylar"
"cüz'î","küçük, sınırlı, ferdî"
"küllî","geniş, kapsamlı"
"hadise-i mühimme","önemli olay"
"küllî","geniş, kapsamlı"
"Arş-ı Âzam","Allah'ın büyüklük ve yüceliğinin ve herşeyi kuşatan sınırsız egemenliğinin tecelli ettiği yer"
"daire-i semâvat","gökler dairesi"
"temsil","analoji, kıyaslama tarzında benzetme"
"mukadderât-ı kâinat","kâinatın plânları, programları"
"ceride","gazete"
"neşr","yayınlanmak"
"medar-ı bahis","söz konusu"
"beyan","açıklama, anlatım"
"kalb-i Muhammedî","Hz. Peygamberin mânevî kalp duygusu"
"cihet","yön"
"semâvât","gökler"
"vahy-i Kur'ânî","vahiyle gelen Kur'ân-ı Kerim"
"nübüvvet-i Ahmediye","Hz. Muhammed'in (a.s.m.) peygamberliği"
"derece-i hakkaniyet","gerçeklik derecesi"
"cihet","yön"
"hilâf","ayrılık, terslik"
"beliğane","beliğ bir şekilde"
"mucizâne","mucizeli bir şekilde"
"ilân","duyurmak"
"Said Nursî","bk. Bediüzzaman Said Nursî"
"Lem'a","parıltı"
"İman","Allah'a inanma"
"âli","yüce, yüksek"
"tefekkürname","Allah'ı tanımayı sonuç verecek şekilde varlıklar üzerinde düşünmeye sevk edici eser, yazı"
"tevhid","birleme; her şeyin bir olan Allah'a ait olduğunu bilme ve buna inanma"
"marifetname","Allah'ı bilmeye dair yazı, eser"
"tefekkürname","Allah'ı tanımayı sonuç verecek şekilde varlıklar üzerinde düşünmeye sevk edici eser, yazı"
"ehemmiyetli","önemli"
"İmam-ı Ali","dört büyük halifenin dördüncüsü; bk. Ali (r.a.)"
"vecih","yön"
"Âyetü'l-Kübrâ","en büyük delil, Risale-i Nur'da 7. Şua adlı eser"
"nam","ad"
"Nam","ad"
"tesbihat","Allah'ı her türlü kusurdan yüce tutarak şanına layık ifadelerle anma"
"aynelyakin","gözle görür kesinlikte bilgi sahibi olma"
"risale","küçük çaplı kitap; Risale-i Nur'un bölümleri"
"netice","sonuç"
"marifetname","Allah'ı bilmeye dair yazı, eser"
"Lem'a","parıltı"
"müstakil","bağımsız, başlı başına"
"münasip","uygun"
"Said Nursî","bk. Bediüzzama Said Nursî"
"evvel","önce"
"Eskişehir hapsi","1935 senesinde Bediüzzaman ve 120 talebesine açılan dava neticesinde Bediüzzaman'a on bir, 15 talebesine de altışar ay hapis cezası verilen hadise; bk. Eskişehir"
"tecrid-i mutlak","tam bir yalnızlık, yalnız başına bırakılma"
"lem'a","parıltı"
"İfade-i Meram","maksadı ifade etme"
"imtizaç","birbiriyle karışma, kaynaşma"
"Kur'ân-ı Mu'cizü'l-Beyân","açıklamalarıyla mu'cize olan, benzerini yapmakta akılları âciz bırakan Kur'ân"
"âyet","Kur'ân'ın her bir cümlesi"
"tefekkür","varlıklar üzerinde Allah'ı tanımayı sonuç verecek şekilde düşünme"
"teşvik","şevklendirmek, isteklendirmek"
"hadis-i şerif","Peygamberimize ait söz, emir ve davranışlar"
"tefekkür","varlıklar üzerinde Allah'ı tanımayı sonuç verecek şekilde düşünme"
"hükmünde","aslı gibi olmak, aslının yerine geçmek"
"beyan","açıklamak, izah etmek"
"tefekkür","varlıklar üzerinde Allah'ı tanımayı sonuç verecek şekilde düşünme"
"azîm","büyük"
"teşvikat","teşvikler"
"cihet","yön"
"meslek-i tefekkür","tefekkür mesleği, yolu"
"tezahür","görünmek, ortaya çıkmak"
"hakikat","gerçek, esas"
"muhafaza etmek","koruma"
"işârât","işaretler, belirtiler"
"nev'","çeşit, tür"
"kelimât","kelimeler, sözler"
"envâr","nurlar, ışıklar"
"delâlet","delil olmak, işaret etmek"
"vücut","varlık"
"tefekkür","varlıklar üzerinde Allah'ı tanımayı sonuç verecek şekilde düşünme"
"teshil","kolaylaştırma"
"intizam","düzen"
"muhafaza","koruma"
"vaz'","koymak"
"Gayet","çok"
"muhtelif","çeşitli"
"Arabî ibare","Arapça metin"
"tefekkür","varlıklar üzerinde Allah'ı tanımayı sonuç verecek şekilde düşünme"
"kelimât","kelimeler, sözler"
"lisanen","dille"
"zikr","anmak"
"usanç","bıkmak, sıkılmak"
"noksan","eksik"
"ihtiyac-ı ruhî","ruhun ihtiyacı"
"zâil","geçip gitmek, yok olmak"
"tefekkürat","varlıklar üzerinde Allah'ı tanımayı sonuç verecek şekilde düşünme işlemleri"
"âyât","âyetler, deliler"
"hassa","nitelik, özellik"
"halâvet","tatlılık, hoşluk"
"muhafaza","korumak"
"hassa","nitelik, özellik"
"cilve","görüntü, yansıma"
"tefekkür","varlıklar üzerinde Allah'ı tanımayı sonuç verecek şekilde düşünme"
"temessül","belirmek, görünmek"
"âhir","son"
"ecza","bütünü oluşturan parçalar"
"ukde-i hayatiye","hayat çekirdeği"
"silsile-i tefekkürât","tefekkürler zinciri"
"lem'a","parıltı"
"tesir","etki"
"âhir","son"
"mecmu","bütün, hepsi"
"kaleme","yazmak"
"risale","küçük çaplı kitap; Risale-i Nur'un bölümleri"
"derc","içine yerleştirmek"
"heyet-i mecmua","birşeyin geneli, bütünü"
"Âhir-i ömür","hayatın son dönemi"
"muayyen","belirlenmiş, bilinen"
"mahkûmiyet","hükümlülük, tutukluluk"
"vaziyet","durum, hal"
"âhir-i hayat","hayatın sonu"
"ilhah","üzerine düşme, zorlama"
"tağyir","değiştirmek"
"Bab","kısım, bölüm"
"nev","çeşit, tür"
"kudsî","kutsal"
"hakikat","gerçek, esas"
"ekseriyet-i mutlaka","büyük çoğunluk"
"tesbihat","Allah'ı her türlü kusurdan yüce tutarak şanına layık ifadelerle anma işlemleri"
"Sübhanallah","Allah her türlü eksiklikten sonsuz derecede yücedir."
"Elhamdü lillâh","ezelden ebede her türlü hamd ve övgü Allah'a mahsustur"
"Allahu ekber","Allah en büyüktür"
"Lâ ilâhe illâllah","Allah'tan başka ilâh yoktur"
"kudsî","kutsal"
"menba","kaynak"
"aynen","tıpkı, tamamıyla"
"tesbihat","Allah'ı her türlü kusurdan yüce tutarak şanına layık ifadelerle anma işlemleri"
"tertip","düzen"
"tecrit","yalnız başına bırakılma"
"müşevveşiyet-i hal","hal, durum karışıklığı"
"Lem'a","parıltı"
"Bab","kısım, bölüm"
"Sübhanallah","Allah her türlü eksiklikten sonsuz derecede yücedir."
"Elhamdü lillâh","ezelden ebede her türlü hamd ve övgü Allah'a mahsustur"
"Allahu ekber","Allah en büyüktür"
"Lâ ilâhe illâllah","Allah'tan başka ilâh yoktur"
"Şafiî","Ehl-i Sünnetin amelde dört hak mezhebinden olan Şâfiî mezhebine tabi olan; bk. İmam-ı Şâfiî"
"tesbihat","Allah'ı her türlü kusurdan yüce tutarak şanına layık ifadelerle anma işlemleri"
"aynen","tıpkı, tamamıyla"
"Sübhanallah","Allah her türlü eksiklikten sonsuz derecede yücedir."
"Elhamdü lillâh","ezelden ebede her türlü hamd ve övgü Allah'a mahsustur"
"Allahu ekber","Allah en büyüktür"
"Lâ ilâhe illâllah","Allah'tan başka ilâh yoktur"
"Şafiî","Ehl-i Sünnetin amelde dört hak mezhebinden olan Şâfiî mezhebine tabi olan; bk. İmam-ı Şâfiî"
"Lem'a","parıltı"
"Lem'a","parıltı"
"Eskişehir Hapishanesi","1935 senesinde Bediüzzaman ve 120 talebesine açılan dava neticesinde Bediüzzaman'a on bir, 15 talebesine de altışar ay hapis cezası verilen hadise; bk. Eskişehir"
"Nükte","derin ve ince anlamlı söz"
"Denizli","bk. Denizli"
"Medrese-i Yusufiye","Hz. Yusuf'un (a.s.) hapiste kalmasına benzetilerek, iman ve Kur'ân hizmetinden dolayı tutuklananların hapsedildiği yer mânâsında hapishane"
"ders-i âzam","büyük bir ders"
"Afyon","bk. Afyon"
"Medrese-i Yusufiye","Hz. Yusuf'un (a.s.) hapiste kalmasına benzetilerek, iman ve Kur'ân hizmetinden dolayı tutuklananların hapsedildiği yer mânâsında hapishane"
"kıymettar","değerli"
"ders-i ekmel","mükemmel bir ders"
"el-Hüccetü'z-Zehrâ","Bediüzzaman Said Nursî'nin Afyon hapishanesinde iken kaleme aldığı ve iman hakikatlerinin anlatıldığı Risale-i Nur Külliyatı'ndan bir eser"
"Medrese-i Yusufiye","Hz. Yusuf'un (a.s.) hapiste kalmasına benzetilerek, iman ve Kur'ân hizmetinden dolayı tutuklananların hapsedildiği yer mânâsında hapishane"
"ders-i âzam","büyük bir ders"
"İsm-i Âzam","Cenâb-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olan ismi"
"nükte","derin ve ince anlamlı söz"
"beyan","açıklama, anlatım"
"Lem'a","parıltı"
"İsm-i Âzam","Cenâb-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olan ismi"
"Hayy-ı Kayyûm","her an diri olan ve herşeyi ayakta tutan Allah"
"zevk","zevk almak"
"Nükte","derin ve ince anlamlı söz"
"İsm-i Kuddûs","Allah'ın her türlü kusurdan ve çirkinlikten uzak olduğunu ve her şeyi tertemiz yaptığını ifade eden ismi"
"nükte","derin ve ince anlamlı söz"
"nükte","derin ve ince anlamlı söz"
"Zeyl","ilâve, ek"
"Zeyl","ilâve, ek"
"âyet","Kur'ân'da yer alan her bir cümle"
"nükte","derin ve ince anlamlı söz"
"İsm-i Âzam","Cenâb-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olan ismi"
"İsm-i Âzam","Cenâb-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olan ismi"
"Kuddûs ismi","Allah'ın her türlü kusurdan ve çirkinlikten uzak olduğunu ve her şeyi tertemiz yaptığını ifade eden ismi"
"cilve","görünme, yansıma"
"Şaban-ı Şerif","mübârek üç aylardan ikincisi ve Hicrî aylardan sekizincisi olan Şaban ayı"
"âhir","son"
"Eskişehir Hapishanesi","1935 senesinde Bediüzzaman ve 120 talebesine açılan dava neticesinde Bediüzzaman'a on bir, 15 talebesine de altışar ay hapis cezası verilen hadise; bk. Eskişehir"
"mevcudiyet-i İlâhiye","Cenâb-ı Hakkın varlığı"
"kemâl-i zuhur","tam olarak görünme, ortaya çıkma"
"vahdet-i Rabbâniye","herşeyi terbiye ve idare eden Allah'ın birliği"
"kemâl-i vuzuh","tam bir açıklık"
"kâinat","evren, yaratılmış herşey"
"küre-i arz","yerküre, dünya"
"daim","devamlı, sürekli"
"muzahrafat","atıklar, pislikler"
"enkaz","yıkıntı, harabenin parçaları"
"ufunet","kokuşmuşluk"
"teraküm","birikmek"
"tanzif","temizleme"
"fabrika-i kâinat","bir fabrikayı andıran kâinat, evren"
"misafirhane-i arz","yeryüzü misafirhanesi"
"nazif","temiz"
"ufunet","kokuşmuşluk"
"menfaatsiz","faydasız"
"tesadüfî","rastgele"
"Zâhirî","görünüşte"
"istihale","dönüştürme"
"tanzif","temizleme"
"tanzim","düzenlemek"
"tanzif eder","temizleme"
"nisbetinde","oranında"
"muzahrafat","atıklar, pislikler"
"enkaz","yıkıntı, harabenin parçaları"
"nisbetinde","oranında"
"nezafet","temizlik"
"saray-ı âlem","âlem sarayı; sarayı andıran bir güzellikte yaratılan kâinat"
"sâfilik","temizlik, arınmışlık"
"nuranîlik","nurluluk, parlaklık"
"mütemadiyen","sürekli olarak"
"hikmetli","faydalı, gayeli"
"tanzif","temizleme"
"daimî","devamlı, sürekli"
"tathir","temizlemek"
"semâvât","gökler"
"feza","uzay"
"tahrib","yok olma, bozulma"
"mevt","ölüm"
"mazhar","erişmek, nail olmak"
"peyk","uydu"
"enkaz","yıkıntı, harabenin parçaları"
"hayvânât","hayvanlar"
"küre-i arz","yerküre, dünya"
"vatan-ı dünyevî","dünya vatanı"
"ber","kara"
"âlem","evren"
"medar-ı ibret","ibret kaynağı"
"semâvî","gökten gelen"
"zemin","yer"
"mevt","ölüm"
"hayvânat","hayvanlar"
"nebâtât","bitkiler"
"taife","grup, topluluk"
"enkaz","yıkıntı, harabenin parçaları"
"ber","kara"
"bahr","deniz"
"fevkalâde","olağanüstü"
"zîşuur","şuur sahibi"
"mevt","ölüm"
"adem","yokluk, hiçlik"
"kâtip","yazıcı, yazar"
"tayyare-i arz","uzayda uçak gibi uçan dünya"
"tuyur-u semâviye","semâvî kuşlar"
"kitab-ı kâinat","kâinat kitabı"
"âhiret","öteki dünya, öldükten sonraki sonsuz hayat"
"hadsiz","sayısız"
"iman","Allah'a inanma"
"perestiş","aşırı derece sevmek"
"saray-ı âlem","âlem sarayı"
"fabrika-i kâinat","bir fabrika gibi işleyen kâinat, evren"
"ism-i Kuddûs","Allah'ın her türlü kusurdan ve çirkinlikten uzak olduğunu her şeyi temiz yaptığını ifade eden ismi"
"cilve-i âzam","en büyük yansıma"
"mazhar","ayna olma, yansıma yeri"
"tanzif-i kudsî","kutsal temizleme"
"âkilü'l-lâhm","etle beslenen"
"tanzifat","temizlemeler"
"sıhhiye memurları","sağlık memuru"
"kudsî","her türlü kusur ve noksandan uzak"
"evâmir-i tanzifiye","temizliği sağlayan emirler, kanunlar"
"cereyan","akan"
"küreyvât-ı hamrâ ve beyzâ","alyuvarlar ve akyuvarlar"
"hüceyrât","hücrecikler"
"tanzifat","temizlemeler"
"tasfiye","arıtmak, temizlemek"
"zemin","yer"
"sathı","yüzey"
"tanzif","temizlemek"
"zemin","yer"
"kemâl-i intizam","mükemmel bir düzen"
"evâmir-i tanzifiye","temizliği sağlayan emirler, kanunlar"
"unsur","kâinatı oluşturan temel maddeler"
"nebat","bitki"
"hayret-engiz","hayret verici"
"tahavvülât","değişimler"
"nezafet","temizlik"
"Mülevves","kirli, pis"
"nazif","temiz"
"vaziyet","durum"
"sâfi","temiz, arınmış"
"lâtif","güzel, hoş"
"suret","biçim, görünüş"
"dest-i hikmet","hikmet eli"
"hakikat","gerçek, esas"
"ism-i Kuddûs","Allah'ın her türlü kusurdan ve çirkinlikten uzak olduğunu her şeyi temiz yaptığını ifade eden ismi"
"İsm-i Âzam","Cenâb-ı Hakkın binbir isminden en büyük ve mânâca diğer isimleri kuşatmış olan ismi"
"kâinat","evren"
"daire-i âzam","en büyük daire"
"cilve-i âzam","en büyük yansıma"
"mevcudiyet-i Rabbâniye","herşeye hâkim olan ve herşeyi istediği şekilde terbiye eden Allah'ın varlığı"
"vahdâniyet-i İlâhiye","Allah'ın bir ve tek olması"
"Esmâ-i Hüsnâ","Cenâb-ı Hakkın en güzel isimleri"
"cüz","kısım, bölüm"
"kat'î","kesin"
"burhan","güçlü ve sarsılmaz delil"
"ism-i Hakem","Allah'ın herşeyi hükmü altında bulundurmasını ifade eden ismi"
"ism-i Hakîm","Allah'ın herşeyi hikmetle yaptığını bildiren ismi"
"cilve","görünme, yansıma"
"fiil-i tanzim ve nizam","düzenleme işi ve düzen"
"ism-i Adl","Allah'ın sonsuz adalet sahibi olduğunu bildiren ismi"
"Âdil","adaletle iş gören, sonsuz adalet sahibi Allah"
"cilve","görünme, yansıma"
"fiil-i tevzin ve mizan","birşeyi ölçülü ve dengeli yapma fiili, işi"
"ism-i Cemîl","Allah'ın bütün güzelliklerin kaynağı ve sonsuz güzellik sahibi olduğunu ifade eden ismi"
"Kerîm","sonsuz cömertlik ve ikram sahibi olan Allah"
"cilve","görünme, yansıma"
"fiil-i tezyin ve ihsan","herşeyi güzel ve süslü bir şekilde yapma fiili, işi"
"ism-i Rab","Rab ismi"
"Rahîm","rahmeti herşeyi kuşatan her bir varlığa ayrı ayrı şefkatini gösteren Allah"
"cilve","görünme, yansıma"
"fiil-i terbiye ve in'âm","terbiye etme ve nimetlendirme fiili"
"daire-i âzam-ı âlem","büyük kâinat dairesi"
"hakikat","esas, gerçek"
"vücub-u vücud","varlığının gerekli ve zorunlu oluşu"
"vahdet","birlik, teklik"
"ism-i Kuddûs","Allah'ın her türlü kusurdan ve çirkinlikten uzak olduğunu ve her şeyi temiz yaptığını ifade eden ismi"
"mazhar","ayna, görüntü yeri"
"cilve","görünme, yansıma"
"fiil-i tanzif ve tathir","temizleme fiili, işi"
"Zât-ı Vâcibü'l-Vücud","varlığı mutlaka gerekli olan, var olmak için hiçbir sebebe ihtiyacı olmayan Zât, Allah"
"mevcudiyet","varlık"
"vahdâniyet","Allah'ın bir ve benzersiz oluşu"
"mezkûr","adı geçen"
"tanzim","düzenleme"
"tevzin","ölçülü yapma"
"tezyin","süsleme"
"tanzif","temizleme"
"misilli","benzeri"
"ef'âl-i hakîmâne","bir maksat ve gayeye yönelik olarak yapılan işler"
"âzamî","en büyük"
"vahdet-i nev'i","tür birliği"
"Sâni-i Vâhid","tek olan ve herşeyi san'atlı yapan ve birliği herşeyi kuşatan Allah"
"Esmâ-i Hüsnâ","Cenâb-ı Hakkın en güzel isimleri"
"ekserî","çoğunluk"
"esmâ","isimler"
"cilve-i âzam","en büyük yansıma, görünme"
"daire-i âzam","en büyük daire"
"cilve","görünme, yansıma"
"nisbetinde","oranında"
"vuzuh","açıklık"
"kat'iyet","kesinlik"
"Vâhid-i Ehad","bir olan ve birliği her bir şeyde ayrı ayrı görülen Allah"
"itaat","emre uydurmak"
"hikmet-i âmme","herşeyi kuşatan hikmet, gaye ve fayda"
"inâyet-i şâmile","herşeyi içine alan İlâhî yardım ve koruma"
"rahmet-i vâsia","geniş rahmet"
"zîhayat","canlı"
"rızk-ı umumî-i iâşe","bütün canlıların yaşaması için verilmiş olan umumî rızık"
"umum","bütün, genel"
"eşya","varlıklar"
"münasebettar","ilgili, bağlantılı"
"müstefid","faydalanma, yararlanma"
"mâlik","sahip"
"ihyâ","hayat verme"
"kâinat","evren"
"bedihî","açık, aşikâr"
"hakikat","esas, gerçek"
"vahdânî","bir tek elden çıkan, bir tek zâtı gösteren"
"ziya","ışık"
"Zât-ı Hakîm","herşeyi bir maksat ve gayeye yönelik olarak hikmetle yapan Zât, Allah"
"Kerîm","sonsuz cömertlik ve ikram sahibi Allah"
"Rahîm","rahmeti herşeyi kuşatan her bir varlığa ayrı ayrı şefkatini gösteren Allah"
"Rezzâk","bütün varlıkların rızıklarını bol bir şekilde tekrar tekrar veren ve ihtiyaçlarını karşılayan Allah"
"Hayy","gerçek hayat sahibi olan ve her canlıya hayat veren Allah"
"Muhyî","bütün canlılara hayat veren Allah"
"bilbedâhe","açık bir şekilde"
"burhan-ı bâhir-i vahdâniyet","Allah'ın birliğini gösteren açık ve kesin delil"
"Vâhid-i Ehad","bir olan ve birliği her bir şeyde görülen Allah"
"vecih","yön"
"muhal","imkansız"
"hikmet","bir gaye ve faydaya yönelik olarak, tam yerli yerinde olma"
"inayet","iyilik ve yardımda bulunma"
"rahmet","İlâhî şefkat, merhamet"
"iaşe","besleme, yedirip içirme"
"ihyâ","hayat verme"
"bedihî","açık, aşikâr"
"hakikat","doğru gerçek"
"vahdanî","bir tek elden çıkan, bir tek zâtı gösteren"
"tanzif","temizleme"
"Kâinat Hâlıkı","evren"
"ehl-i dalâlet","doğru ve hak yoldan sapanlar, inançsız kimseler"
"meslek-i küfrî","Allah'ı inkâr etmeye dayalı yol, metod"
"tanzif","temizleme"
"alâkadar","alakalı, ilgili"
"unsur","madde, element"
"mahlûkat","varlıklar"
"kâinat","evren"
"tezyin","süsleme"
"tevzin","ölçülü yapma, dengeleme"
"tanzim","düzenleme"
"tanzif","temizleme"
"kabiliyet","yetenek"
"Hâlık-ı Âlem","evreni ve içindeki herşeyi yaratan Allah"
"sıfât-ı kudsiye","her türlü eksik ve çirkinlikten uzak özellikler"
"kâinat","evren"
"tezyinat","süslemeler"
"tanzifât","temizlik işleri"
"varidat","gelirler"
"masarif","masraflar, giderler"
"muvazene","denge"
"tanzim","düzenleme"
"kâinat","evren"
"meclis-i meşveret","danışma meclisi"
"hadsiz","sayısız"
"âzâ","organlar"
"hâkezâ","bunun gibi"
"hurafe","delile dayanmayan saçma inanış"
"safsata","yalan ve uydurma şey"
"muhal","imkansız"
"müşahede","gözlemleme"
"umum","bütün, genel"
"ihatalı","herşeyi kuşatan"
"ulvî","yüce"
"tezyin","süsleme"
"tathir","temizleme"
"tanzif","temizleme"
"vücut","ortaya çıkmak"
"muhal","imkansız"
"muhal","imkansız"
"ziya","ışık"
"zemin","yer"
"umum","bütün, genel"
"temessül","görünen"
"hayalî","hayale dayalı"
"cilve-i in'ikâs","yansımanın görüntüsü"
"zemin","yer"
"katre","damla"
"hakikî","asıl, gerçek"
"umum","bütün, genel"
"ziya","ışık"
"vücut","ortaya çıkmak"
"hikmet","herşeyin anlamlı ve bir gayeye yönelik olarak tam yerli yerinde yaratılması"
"ziya","ışık"
"Rahmet-i muhita","herşeyi kuşatan geniş rahmet"
"ziya","ışık"
"Tezyin","süsleme"
"tevzin","ölçülü yapma, dengeleme"
"tanzim","düzenleme"
"tanzif","temizleme"
"muhit","kuşatan, kapsayan"
"ziya","ışık"
"Şems-i Ezelî","başlangıcı olmayan ve bütün varlıkları yokluk karanlığından varlık aydınlığına çıkaran Allah"
"şua","ışık, parıltı"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"küfür","inkâr"
"dalâlet","hak yoldan sapkınlık, inançsızlık"
"cehalet","cahillik"
"Elhamdü lillâhi alâ dîni'l-İslâm ve kemâli'l-îmân","İslâm dinini ve kusursuz bir imanı nasip ettiği için Allah'a hamd olsun"
"kâinat","evren"
"ulvî","yüce"
"umumî","genel"
"tanzif","temizleme"
"ism-i Kuddûs","Allah'ın kusur ve noksanlıklardan mukaddes pak, temiz olduğunu ifade eden ismi"
"cilve","görünme, yansıma"
"mukteza","bir şeyin gereği"
"mahlûkat","varlıklar"
"tesbihat","Allah'ı her türlü kusurdan yüce tutarak şanına layık ifadelerle anma"
"ism-i Kuddûs","Allah'ın kusur ve noksanlıklardan mukaddes pak, temiz olduğunu ifade eden ismi"
"nezafet","temizlik"
"Nezafet","temizlik"
"kudsî","her türlü kusur ve noksandan uzak"
"intisab","bağlanma, mensup olma"
"hadis","Peygamber Efendimizin (a.s.m.) mübarek söz, fiil ve hareketi veya onun onayladığı başkasına ait söz, iş veya davranış"
"nezafet","temizlik"
"iman","inanç"
"âyet","Kur'ân'da yer alan her bir cümle"
"taharet","temizlik"
"muhabbet-i İlâhiye","Allah sevgisi"
"medar","sebep, kaynak"
"Lem'a","parıltı"
"Nükte","ince ve derin anlamlı söz"
"âyet","Kur'ân'da yer alan her bir cümle"
"nükte","ince ve derin anlamlı söz"
